Customer ID,First Name,Last Name,Email,Age,Gender,Annual Income,Purchase History,Last Purchase Amount,Membership Status,Location,Feedback Score
57,Sophia,Wang,sophia.wang@example.com,32,Female,54727,3,1799.540863,Regular,,4
58,Camila,Hernandez,camila.hernandez@example.com,35,Female,121422,3,651.0025213,Premium,New York,1
59,Dylan,Mensah,dylan.mensah@example.com,45,Male,61300,20,305.1843131,Premium,,3
60,Esteban,Lopez,esteban.lopez@example.com,49,Male,104946,32,261.1212607,Regular,Phoenix,
61,Paula,Ng,paula.ng@example.com,19,Female,,8,1252.391814,Premium,,2
62,Julian,Morris,julian.morris@example.com,42,Male,60613,7,1174.87573,Regular,Philadelphia,2
63,Ethan,Wilson,ethan.wilson@example.com,39,Male,142199,16,,Regular,San Antonio,1
64,Alejandro,Flores,alejandro.flores@example.com,60,Male,131652,35,767.9997536,Premium,San Antonio,
65,Maria,Chia,maria.chia@example.com,61,Female,83841,9,1198.809792,Premium,San Diego,3
66,Javier,Koh,javier.koh@example.com,69,Male,,25,596.8465144,Premium,San Antonio,
67,Emilio,Zhang,emilio.zhang@example.com,43,Male,71704,30,1016.046638,Regular,,5
68,Alice,Suzuki,alice.suzuki@example.com,64,Female,127609,24,866.0966584,Regular,Chicago,
69,Aryan,Johnson,aryan.johnson@example.com,28,Male,,43,,Premium,San Diego,
70,Lakshmi,Nguyen,lakshmi.nguyen@example.com,47,Female,122435,48,237.6840041,Premium,San Diego,2
71,Priya,Balakrishnan,priya.balakrishnan@example.com,26,Female,149725,45,1312.878785,Regular,Philadelphia,
72,Maria,Johnson,maria.johnson@example.com,57,Female,136352,35,,Premium,Dallas,5
73,Bryan,Chen,bryan.chen@example.com,52,Male,79968,27,1107.157104,Premium,Phoenix,3
74,Lucas,Adams,lucas.adams@example.com,19,Male,80604,38,1732.329708,Premium,,2
75,Felix,Harris,felix.harris@example.com,43,Male,116991,48,865.8391839,Premium,San Antonio,2
76,Gabriela,Mitchell,gabriela.mitchell@example.com,55,Female,133860,47,1777.301134,Premium,Los Angeles,4
77,Alan,Mitchell,alan.mitchell@example.com,54,Male,137577,10,833.4890066,Regular,San Antonio,5
78,Mateo,Lopez,mateo.lopez@example.com,60,Male,115461,27,1656.564257,Premium,San Jose,
79,Taro,Li,taro.li@example.com,19,Male,49936,42,803.4730667,Premium,Chicago,
80,Jose,Robinson,jose.robinson@example.com,23,Male,94923,7,1461.92889,Regular,Dallas,3
81,Isaac,Ramirez,isaac.ramirez@example.com,59,Male,34852,32,631.9712165,Premium,Phoenix,4
82,Fatimah,Gonzalez,fatimah.gonzalez@example.com,45,Female,46547,40,,Regular,Philadelphia,1
83,Saul,Suzuki,saul.suzuki@example.com,26,Male,95836,27,517.230695,Regular,Los Angeles,1
84,Fatimah,Jones,fatimah.jones@example.com,47,Female,107356,18,1907.64911,Premium,Los Angeles,4
85,Ethan,Jackson,ethan.jackson@example.com,29,Male,73515,3,1376.773861,Regular,Philadelphia,
86,Arjun,Young,arjun.young@example.com,21,Male,,45,953.7930923,Premium,Phoenix,4
87,Maria,Gonzalez,maria.gonzalez@example.com,34,Female,,24,191.5373288,Regular,,2
88,Elena,Perez,elena.perez@example.com,42,Female,144581,14,179.8750711,Premium,,2
89,Akio,Moore,akio.moore@example.com,38,Male,,29,869.4342719,Premium,San Jose,5
90,Emma,Lopez,emma.lopez@example.com,31,Female,87711,29,,Regular,San Antonio,3
91,Manuel,Evans,manuel.evans@example.com,,Male,,16,751.5672502,Premium,Chicago,1
92,Barbara,Lim,barbara.lim@example.com,38,Female,98937,24,268.9297526,Regular,San Diego,1
93,Zainab,Taylor,zainab.taylor@example.com,39,Female,,7,129.3621462,Premium,Philadelphia,3
94,Samuel,Adams,samuel.adams@example.com,66,Male,89890,44,1913.683001,Regular,San Diego,
95,Ling,Lopez,ling.lopez@example.com,42,Female,32011,24,1127.749929,Premium,New York,5
96,Luis,Carter,luis.carter@example.com,35,Male,124692,35,,Regular,Philadelphia,4
97,Mia,Thompson,mia.thompson@example.com,66,Female,48894,42,827.5091795,Premium,San Jose,3
98,Luis,Wilson,luis.wilson@example.com,44,Male,83736,23,1748.478671,Premium,San Antonio,5
99,Eduardo,Adams,eduardo.adams@example.com,34,Male,144154,4,,Regular,Phoenix,1
100,Vincent,Parker,vincent.parker@example.com,23,Male,115823,26,851.644343,Regular,,1
